record_type,procedure_code,procedure_code_modifier,end_procedure_code,end_procedure_code_modifier,maximum_quantity,breakdown_required,anesthesia_code,hcpcs_code,effective_date,expiration_date,create_user,create_timestamp,update_user,update_timestamp
P,97535,,97535,ZZ,30,X,,,19910101,21991231,ISERIES,2006-08-22 12:49:42.000000,ISERIES,2006-08-22 12:49:42.000000
P,97536,,97536,ZZ,30,,,,19910101,21991231,ISERIES,2006-08-22 12:49:58.000000,ISERIES,2006-08-22 12:49:58.000000
P,97537,,97537,ZZ,30,X,,,19910101,21991231,ISERIES,2006-08-22 12:50:11.000000,ISERIES,2006-08-22 12:50:11.000000
P,97538,,97545,ZZ,30,,,,19910101,21991231,ISERIES,2006-08-22 12:50:50.000000,ISERIES,2006-08-22 12:50:50.000000
P,97546,,97546,ZZ,2500,,4,,19910101,21991231,ISERIES,2006-11-30 10:26:34.000000,ISERIES,2006-11-30 10:26:34.000000
P,97547,,97749,ZZ,30,,,,19910101,21991231,ISERIES,2006-08-22 11:39:50.000000,ISERIES,2006-08-22 11:39:50.000000
P,97750,,97750,FB,30,X,,,19910101,21991231,ISERIES,2006-08-22 11:40:23.000000,ISERIES,2006-08-22 11:40:23.000000
P,97750,FC,97750,FC,30,,,,19910101,21991231,ISERIES,2006-08-22 11:39:00.000000,ISERIES,2006-08-22 11:39:00.000000
P,97750,FD,97750,ZZ,30,X,,,19910101,21991231,ISERIES,2006-08-22 11:40:43.000000,ISERIES,2006-08-22 11:40:43.000000
P,97751,,97759,ZZ,30,,,,19910101,21991231,ISERIES,,ISERIES,
P,97799,,97799,ZZ,2500,,4,,19910101,21991231,ISERIES,2006-11-30 10:26:52.000000,ISERIES,2006-11-30 10:26:52.000000
P,97800,,99999,ZZ,30,,,,19910101,21991231,ISERIES,2006-08-22 11:38:02.000000,ISERIES,2006-08-22 11:38:02.000000
R,,,299,,30,,,,19910101,21991231,ISERIES,2006-08-22 13:20:41.000000,ISERIES,2006-08-22 13:20:41.000000
R,30,,309,,30,X,,,19910101,21991231,ISERIES,2006-08-22 13:21:33.000000,ISERIES,2006-08-22 13:21:33.000000
R,31,,319,,30,X,,,19910101,21991231,ISERIES,2006-08-22 13:21:45.000000,ISERIES,2006-08-22 13:21:45.000000
R,32,,329,,30,X,,,19910101,21991231,ISERIES,2006-08-22 13:22:04.000000,ISERIES,2006-08-22 13:22:04.000000
R,33,,339,,30,X,,,19910101,21991231,ISERIES,2006-08-22 13:22:16.000000,ISERIES,2006-08-22 13:22:16.000000
R,34,,349,,30,X,,,19910101,21991231,ISERIES,2006-08-22 13:22:36.000000,ISERIES,2006-08-22 13:22:36.000000
R,35,,359,,30,X,,,19910101,21991231,ISERIES,2006-08-22 13:22:50.000000,ISERIES,2006-08-22 13:22:50.000000
R,36,,369,,30,X,,,19910101,21991231,ISERIES,2006-08-22 13:23:03.000000,ISERIES,2006-08-22 13:23:03.000000
R,37,,379,,30,,,,19910101,21991231,ISERIES,2006-08-22 13:23:28.000000,ISERIES,2006-08-22 13:23:28.000000
R,38,,389,,30,X,,,19910101,21991231,ISERIES,2006-08-22 13:23:40.000000,ISERIES,2006-08-22 13:23:40.000000
R,39,,399,,30,X,,,19910101,21991231,ISERIES,2006-08-22 13:25:14.000000,ISERIES,2006-08-22 13:25:14.000000
R,40,,609,,30,,,,19910101,21991231,ISERIES,2006-08-22 13:24:27.000000,ISERIES,2006-08-22 13:24:27.000000
R,61,,619,,30,X,,,19910101,21991231,ISERIES,2006-08-22 13:24:43.000000,ISERIES,2006-08-22 13:24:43.000000
R,62,,999,,30,,,,19910101,21991231,ISERIES,2006-08-22 13:24:59.000000,ISERIES,2006-08-22 13:24:59.000000
P,97760,,97761,ZZ,30,X,,,19910101,21991231,ISERIES,,ISERIES,
P,97762,,97798,ZZ,30,,,,19910101,21991231,ISERIES,,ISERIES,
